Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
01-01-2021,TCS-I3060CE,3060,53.35,call,0.364485332,238.8670875,28-01-2021,0.35,-25996.8606,11-01-2021,160.05,Intraday SL Hit
29-01-2021,TCS-I3280CE,3280,46.8,call,0.344986629,224.0788829,25-02-2021,0.35,10370.70682,25-02-2021,0.05,Expiry
26-02-2021,TCS-I3040CE,3040,65,call,0.352635237,241.291946,25-03-2021,0.35,1891.849503,25-03-2021,55.95,Expiry
26-03-2021,TCS-I3200CE,3200,68.95,call,0.357034953,228.3849918,29-04-2021,0.35,15578.14029,29-04-2021,0.05,Expiry
30-04-2021,TCS-I3150CE,3150,51.25,call,0.346455015,230.2252919,27-05-2021,0.35,-398.7502056,27-05-2021,51.95,Expiry
28-05-2021,TCS-I3250CE,3250,43.25,call,0.351530038,222.504768,24-06-2021,0.35,-19631.59568,24-06-2021,129.75,Intraday SL Hit
25-06-2021,TCS-I3500CE,3500,53.2,call,0.349634511,207.641196,29-07-2021,0.35,10925.56063,29-07-2021,0.05,Expiry
30-07-2021,TCS-I3260CE,3260,32.15,call,0.359813616,221.0747321,26-08-2021,0.35,-14499.40738,09-08-2021,96.45,Intraday SL Hit
27-08-2021,TCS-I3860CE,3860,37.2,call,0.336400401,188.3239171,30-09-2021,0.35,-14291.52542,15-09-2021,111.6,Intraday SL Hit
01-10-2021,TCS-I3840CE,3840,97.2,call,0.349543032,187.7682403,28-10-2021,0.35,18059.07994,28-10-2021,0.05,Expiry
29-10-2021,TCS-I3500CE,3500,62.8,call,0.357941828,205.640423,25-11-2021,0.35,12774.69154,25-11-2021,0.05,Expiry
26-11-2021,TCS-I3560CE,3560,39.95,call,0.34313408,203.4883721,30-12-2021,0.35,-16583.89535,02-12-2021,119.85,Intraday SL Hit
31-12-2021,TCS-I3840CE,3840,67.8,call,0.362973551,187.1657754,27-01-2022,0.35,12506.22995,27-01-2022,0.3,Expiry
28-01-2022,TCS-I3800CE,3800,61.3,call,0.351862757,189.4426327,24-02-2022,0.35,11487.1382,24-02-2022,0.05,Expiry
25-02-2022,TCS-I3640CE,3640,58.95,call,0.358821938,198.6942946,31-03-2022,0.35,-7589.227931,31-03-2022,95.6,Expiry
01-04-2022,TCS-I3860CE,3860,63,call,0.364410567,186.2692922,28-04-2022,0.35,11608.20915,28-04-2022,0.05,Expiry
29-04-2022,TCS-I3650CE,3650,45.05,call,0.350922181,197.2942503,26-05-2022,0.35,8789.261556,26-05-2022,0.05,Expiry
27-05-2022,TCS-I3400CE,3400,41,call,0.320335941,214.2835277,30-06-2022,0.35,-17922.67426,03-06-2022,123,Intraday SL Hit
01-07-2022,TCS-I3440CE,3440,50,call,0.342728952,210.147103,28-07-2022,0.35,10391.66917,28-07-2022,0.05,Expiry
29-07-2022,TCS-I3400CE,3400,38.1,call,0.36535838,212.1212121,25-08-2022,0.35,7990.287879,25-08-2022,0.05,Expiry
12-04-2023,TCS-I3320CE,3320,28.7,call,0.34927576,215.6832537,27-04-2023,0.35,6117.316284,27-04-2023,0.05,Expiry
28-04-2023,TCS-I3320CE,3320,17.95,call,0.349954331,217.7293935,25-05-2023,0.35,3858.164852,25-05-2023,0.05,Expiry
30-06-2023,TCS-I3400CE,3400,35.05,call,0.352959184,212.2241151,27-07-2023,0.35,-15174.44868,14-07-2023,105.15,Intraday SL Hit
28-07-2023,TCS-I3480CE,3480,29,call,0.345403775,208.7060227,31-08-2023,0.35,5981.410256,31-08-2023,0.05,Expiry
01-09-2023,TCS-I3480CE,3480,27,call,0.348775902,207.4688797,28-09-2023,0.35,-11427.38589,12-09-2023,81,Intraday SL Hit
29-09-2023,TCS-I3640CE,3640,35,call,0.337882635,198.5815603,26-10-2023,0.35,6870.822695,26-10-2023,0.05,Expiry
27-10-2023,TCS-I3460CE,3460,26.5,call,0.362100974,208.7060227,30-11-2023,0.35,-11282.64758,16-11-2023,79.5,Intraday SL Hit
01-12-2023,TCS-I3620CE,3620,27.15,call,0.336185466,199.3166287,28-12-2023,0.35,-11039.3508,08-12-2023,81.45,Intraday SL Hit
29-12-2023,TCS-I3900CE,3900,75.95,call,0.362235622,184.2590155,25-01-2024,0.35,13845.22243,25-01-2024,0.05,Expiry
29-01-2024,TCS-I3920CE,3920,53.1,call,0.352800432,183.8380124,29-02-2024,0.35,-19914.06886,06-02-2024,159.3,Intraday SL Hit
01-03-2024,TCS-I4200CE,4200,71.55,call,0.352901285,171.023699,28-03-2024,0.35,12105.74151,28-03-2024,0.05,Expiry
01-04-2024,TCS-I4020CE,4020,66.75,call,0.357654338,178.3598537,25-04-2024,0.35,11777.45786,25-04-2024,0.05,Expiry
26-04-2024,TCS-I3950CE,3950,44.2,call,0.336109831,183.0807255,30-05-2024,0.35,8002.000811,30-05-2024,0.05,Expiry
31-05-2024,TCS-I3800CE,3800,67.65,call,0.343800584,189.3427103,27-06-2024,0.35,-12218.00108,27-06-2024,130.2,Expiry
28-06-2024,TCS-I4000CE,4000,69.5,call,0.371763907,179.1770653,25-07-2024,0.35,-25403.72432,12-07-2024,208.5,Intraday SL Hit
01-01-2019,INFY-I700CE,700,13.75,call,0.319218031,1051.129965,31-01-2019,0.35,-29484.19551,21-01-2019,41.25,Intraday SL Hit
