ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
TATACONSUM.EQ-NSE,10-11-2023,914.35,905,7.85,0.05,30-11-2023,5910.97501,765.5711708,0,FALSE,0,19425.35,19350,0.05,100.3,0,36.03538675,3648.709032,No SL Hit,99.36%,-99.95%
TATACONSUM.EQ-NSE,08-12-2023,946.5,935,8.55,0.05,28-12-2023,6222.715267,739.5668251,0,FALSE,0,20969.4,20850,0.05,104.7,0,33.38197564,3528.39137,No SL Hit,99.42%,-99.95%
TATACONSUM.EQ-NSE,05-01-2024,1120.8,1110,17.6,0.05,25-01-2024,10850.68701,624.5538901,0,FALSE,0,21710.8,21600,248.3,162.1,0,32.2420178,-2646.940693,No SL Hit,99.72%,53.18%
TATACONSUM.EQ-NSE,09-02-2024,1127,1115,16.45,0.05,29-02-2024,10083.85093,621.1180124,0,FALSE,0,21782.5,21650,0.05,202.25,0,32.1358889,6562.887639,No SL Hit,99.70%,-99.98%
TATACONSUM.EQ-NSE,11-03-2024,1223,1210,20.45,40.9,13-03-2024,-12055.96893,572.3630417,0,FALSE,0,22332.65,22250,341.85,184.45,0,31.34424262,-4768.61904,Intraday SL Hit,-100.00%,85.33%
TATACONSUM.EQ-NSE,05-04-2024,1116.25,1100,15.9,0.1,25-04-2024,9807.838746,627.0996641,0,FALSE,0,22513.7,22400,0.15,146,0,31.09217943,4580.23559,No SL Hit,99.37%,-99.90%
TATACONSUM.EQ-NSE,10-05-2024,1089,1070,15.85,3.95,30-05-2024,7521.94674,642.7915519,0,FALSE,0,22055.2,21950,0.05,200,0,31.73854692,6409.615419,No SL Hit,75.08%,-99.98%
TATACONSUM.EQ-NSE,07-06-2024,1135,1120,17,34,21-06-2024,-10799.11894,616.7400881,0,FALSE,0,23290.15,23100,26.65,240.15,0,30.05562437,6497.06421,Intraday SL Hit,-100.00%,-88.90%
BAJAJ_AUTO.EQ-NSE,11-01-2019,2703.1001,2650,36.5,73,25-01-2019,-9735.673496,258.961923,0,FALSE,0,10794.95,10700,51.7,100.05,0,64.84513592,3233.664815,Intraday SL Hit,-100.00%,-48.33%
BAJAJ_AUTO.EQ-NSE,08-02-2019,2850,2800,44.55,0.05,28-02-2019,10820.2807,245.6140351,0,FALSE,0,10943.6,10850,47,102.05,0,63.96432618,3616.574984,No SL Hit,99.89%,-53.94%
